workload,allocator,avg_fragmentation,avg_latency_per_alloc,throughput_per_tick,failed_allocs
inference_bursty_long,fusion_pool,0.34359999999999996,1.285,0.2851666666666667,0
inference_bursty_long,native,0.3600666666666667,1.1553333333333333,0.2851666666666667,0
inference_bursty_long,page_adaptive,0.32570000000000005,1.1416666666666666,0.2851666666666667,155
inference_bursty_mixed,fusion_pool,0.38056666666666666,1.071,0.2862,0
inference_bursty_mixed,native,0.4276333333333333,0.9793333333333333,0.2862,0
inference_bursty_mixed,page_adaptive,0.3589333333333333,0.8843333333333333,0.2862,0
inference_steady_mixed,fusion_pool,0.3234666666666666,1.0010000000000001,0.2858,0
inference_steady_mixed,native,0.39653333333333335,0.953,0.2858,0
inference_steady_mixed,page_adaptive,0.2889,0.8123333333333332,0.2858,0
inference_steady_short,fusion_pool,0.5592666666666667,0.8266666666666667,0.3209666666666667,0
inference_steady_short,native,0.6913666666666667,0.6503333333333333,0.3209666666666667,0
inference_steady_short,page_adaptive,0.5135,0.36599999999999994,0.3209666666666667,0
training,fusion_pool,0.4135333333333333,2.4776666666666665,0.0226,0
training,native,0.4397,2.6333333333333333,0.0226,0
training,page_adaptive,0.28319999999999995,2560.0,0.0226,0
